
=== GROUP: major ===

--- openai (53 entries) ---
2022-11-30  GPT-3.5-turbo  (id: openai-gpt-35-turbo-202211, category: chat)
2026-03-16  Mistral Small 4  (id: mistral-small4-202603, category: chat)
2026-03-23  Voxtral TTS  (id: mistral-voxtral-tts-202603, category: audio)
2026-06-23  Mistral OCR 4  (id: mistral-ocr4-202606, category: document)
2026-07-16  Mistral OCR 4.1  (id: mistral-ocr41-202607, category: document)

--- cohere (10 entries) ---
2023-11-02  Embed v3  (id: cohere-embed-v3-202311, category: embedding)
2024-03-11  Command R  (id: cohere-command-r-202403, category: chat)
2024-04-04  Command R+  (id: cohere-command-r-plus-202404, category: chat)
2025-03-13  Command A  (id: cohere-command-a-202503, category: chat)
2025-04-15  Embed v4  (id: cohere-embed-v4-202504, category: embedding)
2025-08-01  Command A Reasoning  (id: cohere-command-a-reasoning-202508, category: chat)
2025-08-01  Command A Translate  (id: cohere-command-a-translate-202508, category: chat)
2026-03-26  Cohere Transcribe  (id: cohere-transcribe-202603, category: audio)
2026-05-20  Command A+  (id: cohere-command-a-plus-202605, category: chat)
2026-08-27  Parse  (id: cohere-parse5-202608, category: document)

--- ai21 (6 entries) ---
2023-03-09  Jurassic-2  (id: ai21-jurassic2-202303, category: chat)
2024-03-28  Jamba  (id: ai21-jamba-202403, category: chat)
2024-08-22  Jamba 1.5 (Mini & Large)  (id: ai21-jamba1.5-202408, category: chat)
2025-03-06  Jamba Large 1.6  (id: ai21-jamba-large-1.6-202503, category: chat)
2025-07-07  Jamba Large 1.7  (id: ai21-jamba-large-1.7-202507, category: chat)
2025-10-08  Jamba Reasoning 3B  (id: ai21-jamba-reasoning-3b-202510, category: chat)

--- alephalpha (3 entries) ---
2023-02-01  Luminous Control  (id: alephalpha-luminous-control-202302, category: chat)
2024-08-28  Pharia-1-LLM-7B  (id: alephalpha-pharia1-7b-202408, category: chat)
2024-10-09  Pharia-1 Embedding  (id: alephalpha-pharia1-embedding-202410, category: embedding)

--- tii (8 entries) ---
2023-05-25  Falcon 40B  (id: tii-falcon-40b-202305, category: chat)
2023-09-06  Falcon 180B  (id: tii-falcon-180b-202309, category: chat)
2024-05-13  Falcon 2 (11B)  (id: tii-falcon2-11b-202405, category: chat)
2024-12-17  Falcon 3  (id: tii-falcon3-202412, category: chat)
2025-05-21  Falcon-H1  (id: tii-falcon-h1-202505, category: chat)
2025-05-21  Falcon Arabic  (id: tii-falcon-arabic-202505, category: chat)
2026-01-05  Falcon-H1 Arabic  (id: tii-falcon-h1-arabic-202601, category: chat)
2026-03-28  Falcon OCR  (id: tii-falcon-ocr-202603, category: document)
